Indicador;Sexo, grupo de edad y nivel de estudios;periodo;Total
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2011;26,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2025;68,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2024;64,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2023;66,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2022;61,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2021;67,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2020;65,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2019;67,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2018;68,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2017;69,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2016;56,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2015;58,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2014;62,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2013;55,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2012;44,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;2011;48,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2025;44,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2024;45,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2023;47,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2022;51,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2021;49,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2020;45,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2019;53,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2018;51,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2017;51,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2016;48,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2015;46,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2014;49,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2013;40,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2012;41,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 35 a 44 años;2011;37,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2025;53,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2024;44,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2023;38,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2022;46,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2021;49,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2020;38,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2019;37,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2018;35,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2017;31,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2016;34,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 45 a 54 años;2015;31,7
