Indicador;Situación profesional y tipo de jornada;periodo;Total
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2025-1T hasta 2025-4T;270,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-4T hasta 2025-3T;259,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-3T hasta 2025-2T;250,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-2T hasta 2025-1T;255,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-1T hasta 2024-4T;255,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-4T hasta 2024-3T;252,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-3T hasta 2024-2T;251,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-2T hasta 2024-1T;248,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-1T hasta 2023-4T;246,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-4T hasta 2023-3T;248,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-3T hasta 2023-2T;246,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-2T hasta 2023-1T;238,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-1T hasta 2022-4T;234,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-4T hasta 2022-3T;229,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-3T hasta 2022-2T;232,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-2T hasta 2022-1T;232,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-1T hasta 2021-4T;222,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-4T hasta 2021-3T;218,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-3T hasta 2021-2T;203,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-2T hasta 2021-1T;194,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-1T hasta 2020-4T;200,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-4T hasta 2020-3T;204,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-3T hasta 2020-2T;210,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-2T hasta 2020-1T;217,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-1T hasta 2019-4T;219,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-4T hasta 2019-3T;220,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-3T hasta 2019-2T;219,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-2T hasta 2019-1T;218,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-1T hasta 2018-4T;214,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-4T hasta 2018-3T;209,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-3T hasta 2018-2T;208,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-2T hasta 2018-1T;207,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-1T hasta 2017-4T;203,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-4T hasta 2017-3T;199,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-3T hasta 2017-2T;194,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-2T hasta 2017-1T;194,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-1T hasta 2016-4T;194,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-4T hasta 2016-3T;192,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-3T hasta 2016-2T;189,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-2T hasta 2016-1T;186,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-1T hasta 2015-4T;184,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-4T hasta 2015-3T;187,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-3T hasta 2015-2T;187,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-2T hasta 2015-1T;188,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-1T hasta 2014-4T;189,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-4T hasta 2014-3T;183,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-3T hasta 2014-2T;175,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-2T hasta 2014-1T;170,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-1T hasta 2013-4T;164,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-4T hasta 2013-3T;162,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-3T hasta 2013-2T;164,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-2T hasta 2013-1T;163,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-1T hasta 2012-4T;160,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-4T hasta 2012-3T;157,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-3T hasta 2012-2T;155,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-2T hasta 2012-1T;152,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-1T hasta 2011-4T;150,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2025-1T hasta 2025-4T;38,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2024-4T hasta 2025-3T;35,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2024-3T hasta 2025-2T;34,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2024-2T hasta 2025-1T;35,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2024-1T hasta 2024-4T;35,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2023-4T hasta 2024-3T;36,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2023-3T hasta 2024-2T;37,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2023-2T hasta 2024-1T;36,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2023-1T hasta 2023-4T;36,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2022-4T hasta 2023-3T;37,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2022-3T hasta 2023-2T;39,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2022-2T hasta 2023-1T;41,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2022-1T hasta 2022-4T;42,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2021-4T hasta 2022-3T;43,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2021-3T hasta 2022-2T;40,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2021-2T hasta 2022-1T;37,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2021-1T hasta 2021-4T;34,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2020-4T hasta 2021-3T;32,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2020-3T hasta 2021-2T;31,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2020-2T hasta 2021-1T;31,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2020-1T hasta 2020-4T;31,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2019-4T hasta 2020-3T;29,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2019-3T hasta 2020-2T;27,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2019-2T hasta 2020-1T;25,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2019-1T hasta 2019-4T;25,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2018-4T hasta 2019-3T;26,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2018-3T hasta 2019-2T;25,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2018-2T hasta 2019-1T;24,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2018-1T hasta 2018-4T;21,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2017-4T hasta 2018-3T;19,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2017-3T hasta 2018-2T;21,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2017-2T hasta 2018-1T;22,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2017-1T hasta 2017-4T;23,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2016-4T hasta 2017-3T;24,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2016-3T hasta 2017-2T;23,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2016-2T hasta 2017-1T;22,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2016-1T hasta 2016-4T;21,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2015-4T hasta 2016-3T;20,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2015-3T hasta 2016-2T;20,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2015-2T hasta 2016-1T;19,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2015-1T hasta 2015-4T;19,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2014-4T hasta 2015-3T;19,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2014-3T hasta 2015-2T;19,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2014-2T hasta 2015-1T;19,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2014-1T hasta 2014-4T;20,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2013-4T hasta 2014-3T;20,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2013-3T hasta 2014-2T;20,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2013-2T hasta 2014-1T;21,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2013-1T hasta 2013-4T;22,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2012-4T hasta 2013-3T;22,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2012-3T hasta 2013-2T;22,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2012-2T hasta 2013-1T;21,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2012-1T hasta 2012-4T;20,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2011-4T hasta 2012-3T;18,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2011-3T hasta 2012-2T;17,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2011-2T hasta 2012-1T;17,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: No asalariados;De 2011-1T hasta 2011-4T;16,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2025-1T hasta 2025-4T;232,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2024-4T hasta 2025-3T;224,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2024-3T hasta 2025-2T;216,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2024-2T hasta 2025-1T;219,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2024-1T hasta 2024-4T;219,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2023-4T hasta 2024-3T;216,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2023-3T hasta 2024-2T;214,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2023-2T hasta 2024-1T;212,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2023-1T hasta 2023-4T;210,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2022-4T hasta 2023-3T;210,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2022-3T hasta 2023-2T;206,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2022-2T hasta 2023-1T;196,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2022-1T hasta 2022-4T;192,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2021-4T hasta 2022-3T;186,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2021-3T hasta 2022-2T;192,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2021-2T hasta 2022-1T;194,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2021-1T hasta 2021-4T;188,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2020-4T hasta 2021-3T;185,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2020-3T hasta 2021-2T;172,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2020-2T hasta 2021-1T;162,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2020-1T hasta 2020-4T;169,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2019-4T hasta 2020-3T;175,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2019-3T hasta 2020-2T;183,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2019-2T hasta 2020-1T;192,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2019-1T hasta 2019-4T;194,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2018-4T hasta 2019-3T;194,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2018-3T hasta 2019-2T;194,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2018-2T hasta 2019-1T;194,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2018-1T hasta 2018-4T;192,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2017-4T hasta 2018-3T;189,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2017-3T hasta 2018-2T;187,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2017-2T hasta 2018-1T;185,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2017-1T hasta 2017-4T;180,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2016-4T hasta 2017-3T;174,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2016-3T hasta 2017-2T;171,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2016-2T hasta 2017-1T;171,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2016-1T hasta 2016-4T;172,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2015-4T hasta 2016-3T;171,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2015-3T hasta 2016-2T;169,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2015-2T hasta 2016-1T;166,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2015-1T hasta 2015-4T;165,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2014-4T hasta 2015-3T;167,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2014-3T hasta 2015-2T;168,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2014-2T hasta 2015-1T;168,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2014-1T hasta 2014-4T;168,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2013-4T hasta 2014-3T;162,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2013-3T hasta 2014-2T;155,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2013-2T hasta 2014-1T;149,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2013-1T hasta 2013-4T;142,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2012-4T hasta 2013-3T;139,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2012-3T hasta 2013-2T;141,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2012-2T hasta 2013-1T;141,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2012-1T hasta 2012-4T;140,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2011-4T hasta 2012-3T;139,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2011-3T hasta 2012-2T;138,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2011-2T hasta 2012-1T;135,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados total;De 2011-1T hasta 2011-4T;133,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2025-1T hasta 2025-4T;154,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2024-4T hasta 2025-3T;147,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2024-3T hasta 2025-2T;145,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2024-2T hasta 2025-1T;147,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2024-1T hasta 2024-4T;148,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2023-4T hasta 2024-3T;144,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2023-3T hasta 2024-2T;142,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2023-2T hasta 2024-1T;139,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2023-1T hasta 2023-4T;134,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2022-4T hasta 2023-3T;134,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2022-3T hasta 2023-2T;129,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2022-2T hasta 2023-1T;122,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2022-1T hasta 2022-4T;118,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2021-4T hasta 2022-3T;114,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2021-3T hasta 2022-2T;118,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2021-2T hasta 2022-1T;119,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2021-1T hasta 2021-4T;120,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2020-4T hasta 2021-3T;121,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2020-3T hasta 2021-2T;114,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2020-2T hasta 2021-1T;109,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2020-1T hasta 2020-4T;106,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2019-4T hasta 2020-3T;103,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2019-3T hasta 2020-2T;103,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2019-2T hasta 2020-1T;103,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2019-1T hasta 2019-4T;103,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2018-4T hasta 2019-3T;101,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2018-3T hasta 2019-2T;102,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2018-2T hasta 2019-1T;103,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2018-1T hasta 2018-4T;103,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2017-4T hasta 2018-3T;103,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2017-3T hasta 2018-2T;100,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2017-2T hasta 2018-1T;97,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2017-1T hasta 2017-4T;95,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2016-4T hasta 2017-3T;92,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2016-3T hasta 2017-2T;92,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2016-2T hasta 2017-1T;93,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Situación profesional: Asalariados: Contrato indefinido;De 2016-1T hasta 2016-4T;94,0
