indicador,situacion_jornada,sexo,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2016,21.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2015,19.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2014,20.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2013,22.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2012,20.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2011,16.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2025,23.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2024,23.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2023,23.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2022,25.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2021,24.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2020,22.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2019,17.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2018,14.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2025,14.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2024,12.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2023,13.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2022,16.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2021,10.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2020,9.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2019,8.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2018,6.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2025,232.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2024,219.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2023,210.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2022,192.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2021,188.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2020,169.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2019,194.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2018,192.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2017,180.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2016,172.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2015,165.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2014,168.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2013,142.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2012,140.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Total,2011,133.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2025,140.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2024,128.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2023,125.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2022,109.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2021,100.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2020,98.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2019,113.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2018,109.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2025,91.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2024,90.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2023,84.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2022,82.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2021,88.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2020,70.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2019,81.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2018,83.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados total,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2025,154.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2024,148.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2023,134.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2022,118.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2021,120.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2020,106.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2019,103.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2018,103.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2017,95.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2016,94.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2015,93.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2014,97.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2013,82.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,Total,2012,75.5
