indicador,situacion_jornada,sexo,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2015,103.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2014,104.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2013,91.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2012,94.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2011,91.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2025,99.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2024,93.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2023,95.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2022,86.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2021,81.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2020,79.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2019,83.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2018,76.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2025,48.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2024,51.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2023,47.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2022,48.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2021,43.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2020,36.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2019,39.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2018,44.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2025,122.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2024,110.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2023,103.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2022,98.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2021,97.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2020,84.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2019,97.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2018,93.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2017,92.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2016,88.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2015,80.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2014,84.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2013,73.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2012,66.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Total,2011,59.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2025,64.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2024,59.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2023,53.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2022,48.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2021,43.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2020,42.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2019,47.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2018,47.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2025,57.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2024,51.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2023,50.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2022,50.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2021,54.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2020,42.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2019,50.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2018,45.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2025,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2024,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2023,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2022,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2021,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2020,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2019,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2018,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2017,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2016,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2015,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2014,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2013,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2012,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Total,2011,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2025,1.4
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2024,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2023,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2022,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2021,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2020,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2019,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2018,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2025,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2024,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2023,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2022,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2021,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2020,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2019,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2018,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2025,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2024,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2023,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2022,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2021,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2020,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2019,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2018,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2017,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2016,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2015,0.6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2014,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2013,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2012,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Total,2011,0.6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2025,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2024,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2023,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2022,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2021,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2020,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2019,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2018,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2025,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2024,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2023,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2022,1.5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2021,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2020,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2019,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2018,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2025,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2024,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2023,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2022,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2021,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2020,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2019,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2018,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2017,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2016,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2015,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2014,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2013,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2012,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Total,2011,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2025,1.4
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2024,1.4
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2023,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2022,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2021,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2020,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2019,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2018,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2025,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2024,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2023,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2022,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2021,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2020,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2019,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2018,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados total,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2025,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2024,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2023,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2022,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2021,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2020,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2019,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2018,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2017,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2016,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2015,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2014,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2013,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2012,0.7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Total,2011,0.6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2025,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2024,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2023,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2022,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2021,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2020,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2019,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: Asalariados: Contrato indefinido,Hombres,2018,0.9
