indicador,situacion_jornada,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2011-4T,143.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2011-3T,155.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2011-2T,155.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2011-1T,147.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2025-4T,44.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2025-3T,37.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2025-2T,32.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2025-1T,38.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2024-4T,35.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2024-3T,32.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2024-2T,37.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2024-1T,37.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2023-4T,36.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2023-3T,36.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2023-2T,35.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2023-1T,38.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2022-4T,38.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2022-3T,47.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2022-2T,43.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2022-1T,40.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2021-4T,42.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2021-3T,35.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2021-2T,30.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2021-1T,29.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2020-4T,32.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2020-3T,32.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2020-2T,31.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2020-1T,29.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2019-4T,24.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2019-3T,23.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2019-2T,25.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2019-1T,30.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2018-4T,25.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,2018-3T,21.0
