indicador,situacion_jornada,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2024-4T,67.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2024-3T,76.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2024-2T,73.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2024-1T,66.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2023-4T,69.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2023-3T,77.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2023-2T,78.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2023-1T,75.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2022-4T,74.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2022-3T,82.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2022-2T,63.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2022-1T,74.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2021-4T,69.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2021-3T,87.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2021-2T,68.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2021-1T,47.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2020-4T,53.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2020-3T,62.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2020-2T,49.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2020-1T,84.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2019-4T,89.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2019-3T,95.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2019-2T,84.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2019-1T,94.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2018-4T,95.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2018-3T,92.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2018-2T,80.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2018-1T,88.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2017-4T,82.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2017-3T,96.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2017-2T,86.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2017-1T,74.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2016-4T,69.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2016-3T,84.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2016-2T,83.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2016-1T,77.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2015-4T,74.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2015-3T,71.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2015-2T,69.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2015-1T,72.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2014-4T,69.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2014-3T,74.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2014-2T,75.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2014-1T,66.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2013-4T,55.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2013-3T,53.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2013-2T,65.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2013-1T,65.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2012-4T,58.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2012-3T,68.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2012-2T,66.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2012-1T,67.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2011-4T,60.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2011-3T,72.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2011-2T,63.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2011-1T,60.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2025-4T,156.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2025-3T,175.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2025-2T,133.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2025-1T,125.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2024-4T,136.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2024-3T,166.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2024-2T,145.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2024-1T,128.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2023-4T,125.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2023-3T,163.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2023-2T,144.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2023-1T,138.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2022-4T,131.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2022-3T,155.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2022-2T,129.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2022-1T,126.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2021-4T,131.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2021-3T,156.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2021-2T,110.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2021-1T,102.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2020-4T,121.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2020-3T,118.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2020-2T,105.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2020-1T,118.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2019-4T,123.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2019-3T,138.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2019-2T,115.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2019-1T,113.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2018-4T,118.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2018-3T,135.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2018-2T,117.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2018-1T,112.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2017-4T,103.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2017-3T,131.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2017-2T,103.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2017-1T,105.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2016-4T,100.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2016-3T,119.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2016-2T,104.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2016-1T,97.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2015-4T,100.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2015-3T,116.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2015-2T,103.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2015-1T,93.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2014-4T,101.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2014-3T,118.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2014-2T,99.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2014-1T,99.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2013-4T,89.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2013-3T,103.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2013-2T,85.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2013-1T,85.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2012-4T,90.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2012-3T,107.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2012-2T,98.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2012-1T,82.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2011-4T,84.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2011-3T,105.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2011-2T,92.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,2011-1T,83.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2025-4T,138.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2025-3T,109.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2025-2T,113.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2025-1T,129.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2024-4T,116.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2024-3T,82.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2024-2T,119.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2024-1T,125.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2023-4T,114.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2023-3T,84.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2023-2T,109.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2023-1T,106.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2022-4T,114.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2022-3T,86.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2022-2T,91.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2022-1T,102.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2021-4T,95.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2021-3T,95.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2021-2T,110.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2021-1T,90.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2020-4T,85.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2020-3T,74.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2020-2T,77.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2020-1T,100.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2019-4T,99.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2019-3T,78.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2019-2T,95.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2019-1T,114.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2018-4T,105.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2018-3T,79.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2018-2T,87.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2018-1T,99.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2017-4T,100.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2017-3T,82.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2017-2T,97.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2017-1T,88.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2016-4T,86.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2016-3T,76.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2016-2T,95.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2016-1T,95.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2015-4T,79.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2015-3T,66.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2015-2T,84.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2015-1T,92.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2014-4T,88.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2014-3T,68.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2014-2T,91.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2014-1T,90.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2013-4T,75.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2013-3T,52.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2013-2T,84.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2013-1T,81.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2012-4T,64.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2012-3T,56.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2012-2T,70.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2012-1T,73.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2011-4T,58.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2011-3T,50.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2011-2T,63.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo parcial,2011-1T,64.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2025-4T,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2025-3T,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2025-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2025-1T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2024-4T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2024-3T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2024-2T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2024-1T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2023-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2023-3T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2023-2T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2023-1T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2022-4T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2022-3T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2022-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2022-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2021-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2021-3T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2021-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2021-1T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2020-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2020-3T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2020-2T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2020-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2019-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2019-3T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2019-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2019-1T,1.2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2018-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2018-3T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2018-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2018-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2017-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2017-3T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2017-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2017-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2016-4T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2016-3T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2016-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2016-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2015-4T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2015-3T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2015-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2015-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2014-4T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2014-3T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2014-2T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2014-1T,1.1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2013-4T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2013-3T,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2013-2T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2013-1T,1.0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2012-4T,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2012-3T,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2012-2T,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2012-1T,0.9
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2011-4T,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2011-3T,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2011-2T,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,TOTAL,2011-1T,0.8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,2025-4T,1.3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo,Situación profesional: No asalariados,2025-3T,1.1
